,value,numBigOnes,aveNumExprEvaluated,aveNumSolutions,aveSolveTimeSec
206,151,3,29458.7,65.8,0.2742074728012085
207,151,4,26596.7,51.2,0.24792091846466063
208,152,1,16643.6,77.6,0.1747274875640869
209,152,2,17547.4,43.1,0.16473658084869386
210,152,3,25351.4,85.0,0.23874213695526122
211,152,4,28659.4,75.0,0.27167692184448244
212,153,1,18545.9,100.9,0.19014275074005127
213,153,2,24554.8,76.4,0.22945177555084229
214,153,3,26265.1,69.5,0.23985397815704346
215,153,4,29471.6,97.8,0.2826636552810669
216,154,1,19499.8,68.8,0.19694435596466064
217,154,2,25956.0,100.4,0.25145664215087893
218,154,3,27325.3,71.0,0.26055862903594973
219,154,4,29347.9,70.7,0.2750619649887085
220,155,1,17032.2,58.8,0.17323901653289794
221,155,2,22614.8,80.6,0.2178490400314331
222,155,3,26930.1,84.3,0.24205451011657714
223,155,4,28467.8,25.6,0.26455957889556886
224,156,1,15557.6,56.8,0.16093623638153076
225,156,2,21749.4,82.9,0.2049462080001831
226,156,3,27657.0,77.2,0.25995850563049316
227,156,4,30241.5,62.3,0.2799630641937256
228,157,1,18036.4,52.3,0.18724212646484376
229,157,2,26395.8,62.1,0.24805591106414795
230,157,3,27365.1,61.5,0.2567577838897705
231,157,4,27806.0,43.5,0.2674602508544922
232,158,1,16847.9,64.7,0.17453935146331787
233,158,2,24209.9,55.3,0.22865142822265624
234,158,3,29768.4,80.8,0.2781626462936401
235,158,4,28712.4,63.5,0.2698607683181763
236,159,1,16329.9,56.6,0.1651371717453003
237,159,2,23592.7,66.3,0.22475054264068603
238,159,3,27048.3,53.1,0.2634897708892822
239,159,4,26398.9,75.6,0.2501220703125
240,160,1,16364.5,106.7,0.17042756080627441
241,160,2,19549.0,77.7,0.18716855049133302
242,160,3,27184.2,60.4,0.25545761585235593
243,160,4,28910.9,38.7,0.2770326375961304
244,161,1,14212.3,58.2,0.15245347023010253
245,161,2,21825.5,65.0,0.21207125186920167
246,161,3,31875.3,66.8,0.3003992080688477
247,161,4,27738.9,38.0,0.2638935804367065
248,162,1,18151.0,97.1,0.2040048599243164
249,162,2,23459.3,80.9,0.230507230758667
250,162,3,25501.1,60.5,0.24950501918792725
251,162,4,28542.7,40.1,0.2803867101669312
252,163,1,16670.5,49.0,0.172698974609375
253,163,2,24972.3,56.7,0.23328139781951904
254,163,3,27508.6,39.2,0.2542875289916992
255,163,4,29452.7,28.4,0.2841440439224243
256,164,1,17842.7,71.6,0.18938856124877929
257,164,2,26754.7,72.2,0.25513782501220705
258,164,3,27713.3,62.2,0.2799168825149536
259,164,4,27685.4,27.9,0.2929744005203247
260,165,1,15240.3,56.7,0.1605307340621948
261,165,2,20549.3,60.2,0.2021415948867798
262,165,3,24455.2,52.1,0.23759751319885253
263,165,4,30289.1,61.0,0.2968831777572632
264,166,1,13664.5,44.3,0.14748027324676513
265,166,2,20624.6,52.2,0.20846281051635743
266,166,3,22432.4,43.1,0.22940332889556886
267,166,4,27418.6,23.7,0.2824785470962524
268,167,1,15164.4,55.4,0.16940412521362305
269,167,2,20307.3,60.4,0.2044532299041748
270,167,3,28986.3,70.7,0.27680776119232176
271,167,4,30142.7,49.0,0.2956012487411499
272,168,1,17288.2,124.4,0.1952453851699829
273,168,2,22795.5,121.3,0.22204396724700928
274,168,3,26696.2,98.2,0.25217111110687257
275,168,4,29487.0,41.4,0.2882015466690063
276,169,1,15458.7,57.1,0.16867997646331787
277,169,2,24828.2,68.1,0.23667576313018798
278,169,3,21321.4,37.5,0.21723556518554688
279,169,4,28177.9,37.9,0.26373579502105715
280,170,1,19131.1,65.5,0.19497342109680177
281,170,2,22021.0,88.8,0.21406266689300538
282,170,3,26729.4,72.4,0.25198187828063967
283,170,4,29270.0,70.4,0.27813522815704345
284,171,1,16049.2,66.5,0.17008116245269775
285,171,2,22815.1,81.0,0.22410683631896972
286,171,3,27815.7,62.8,0.2714179515838623
287,171,4,28435.1,50.0,0.2999327898025513
288,172,1,14655.0,46.3,0.15096597671508788
289,172,2,21975.5,57.3,0.20761513710021973
290,172,3,25638.6,62.2,0.23831472396850586
291,172,4,25720.9,57.1,0.2803508758544922
292,173,1,16175.5,35.4,0.17053620815277098
293,173,2,22086.5,59.2,0.2235666036605835
294,173,3,30185.7,65.2,0.2970983266830444
295,173,4,28549.2,55.6,0.2853204011917114
296,174,1,17069.9,61.7,0.17774410247802735
297,174,2,22705.7,67.4,0.22165279388427733
298,174,3,25120.7,53.2,0.23724908828735353
299,174,4,27962.9,69.2,0.27596869468688967
300,175,1,16188.1,85.9,0.1784280776977539
301,175,2,21737.3,156.9,0.22655248641967773
302,175,3,27765.4,188.7,0.2746540069580078
303,175,4,28563.0,243.5,0.2903820276260376
304,176,1,17548.5,70.4,0.18624982833862305
305,176,2,24113.4,84.0,0.2283339262008667
306,176,3,27109.7,67.0,0.2696767091751099
307,176,4,28723.2,56.3,0.2996894121170044
308,177,1,14556.6,40.7,0.1718158483505249
309,177,2,22273.7,70.3,0.2442000150680542
310,177,3,26850.4,46.2,0.2676039934158325
311,177,4,28501.7,53.8,0.2803571462631226
312,178,1,15936.6,41.5,0.16791253089904784
313,178,2,20944.2,56.2,0.21537649631500244
314,178,3,27081.7,60.4,0.27095396518707277
315,178,4,27127.5,32.5,0.2707973480224609
316,179,1,15888.8,35.5,0.16975185871124268
317,179,2,18764.0,52.0,0.199196720123291
318,179,3,24750.1,36.7,0.24107832908630372
319,179,4,27661.5,44.2,0.27517094612121584
320,180,1,16762.9,116.6,0.18091371059417724
321,180,2,22791.6,86.6,0.23680739402770995
322,180,3,28125.7,108.9,0.2770883560180664
323,180,4,29073.9,59.0,0.28744261264801024
324,181,1,14580.4,35.1,0.1598644733428955
325,181,2,22096.9,70.1,0.21395647525787354
326,181,3,23912.5,57.0,0.23860509395599366
327,181,4,27561.1,24.4,0.270409369468689
328,182,1,16098.8,43.4,0.16457729339599608
329,182,2,23929.9,68.2,0.22695763111114503
330,182,3,25675.4,50.0,0.2415642261505127
331,182,4,28252.2,37.5,0.2912495851516724
332,183,1,15329.8,28.3,0.16407718658447265
333,183,2,24242.3,60.5,0.25534701347351074
334,183,3,29015.9,43.2,0.274816632270813
335,183,4,27400.2,40.8,0.2665976285934448
336,184,1,18555.1,55.3,0.18992266654968262
337,184,2,27069.9,73.1,0.27199664115905764
